"","msa.fips","year","personal.current.transfer.receipts"
"new.row.544","46220",1973,21581
"new.row.545","46220",1974,25088
"new.row.546","46220",1975,27382
"new.row.547","46220",1976,30661
"new.row.548","46220",1977,35237
"new.row.549","46220",1978,38970
"new.row.550","46220",1979,44377
"new.row.551","46220",1980,47351
"new.row.552","46220",1981,55919
"new.row.553","46220",1982,60406
"new.row.554","46220",1983,64720
"new.row.555","46220",1984,71523
"new.row.556","46220",1985,79482
"new.row.557","46220",1986,80259
"new.row.558","46220",1987,87713
"new.row.559","46220",1988,98425
"new.row.560","46220",1989,107214
"new.row.561","46220",1990,118571
"new.row.562","46220",1991,124479
"new.row.563","46220",1992,130897
"new.row.564","46220",1993,140691
"new.row.565","46220",1994,150795
"new.row.566","46220",1995,161107
"new.row.567","46220",1996,164630
"new.row.568","46220",1997,174671
"new.row.569","46220",1998,184502
"new.row.570","46220",1999,197229
"new.row.571","46220",2000,201669
"new.row.572","46220",2001,216814
"new.row.573","46220",2002,223229
"new.row.574","46220",2003,229807
"new.row.575","46220",2004,243393
"new.row.576","46220",2005,267828
"new.row.577","46220",2006,292032
"new.row.578","46220",2007,307482
"new.row.579","46220",2008,319646
"new.row.580","46220",2009,313115
"new.row.581","46220",2010,320996
"new.row.582","46220",2011,262303
"new.row.583","46220",2012,270059
"new.row.584","46220",2013,355101
"new.row.585","11260",1969,17284
"new.row.586","11260",1970,18928
"new.row.587","11260",1971,21034
"new.row.588","11260",1972,23803
"new.row.589","11260",1973,29350
"new.row.590","11260",1974,40969
"new.row.591","11260",1975,58329
"new.row.592","11260",1976,70787
"new.row.593","11260",1977,78910
"new.row.594","11260",1978,77500
"new.row.595","11260",1979,84244
"new.row.596","11260",1980,92001
"new.row.597","11260",1981,118236
"new.row.598","11260",1982,142212
"new.row.599","11260",1983,165821
"new.row.600","11260",1984,187319
"new.row.601","11260",1985,205786
"new.row.602","11260",1986,208838
"new.row.603","11260",1987,196686
"new.row.604","11260",1988,209847
"new.row.605","11260",1989,233039
"new.row.606","11260",1990,274578
"new.row.607","11260",1991,295937
"new.row.608","11260",1992,307078
"new.row.609","11260",1993,328791
"new.row.610","11260",1994,346397
"new.row.611","11260",1995,350155
"new.row.612","11260",1996,354894
"new.row.613","11260",1997,378945
"new.row.614","11260",1998,398111
"new.row.615","11260",1999,410382
"new.row.616","11260",2000,426548
"new.row.617","11260",2001,467902
"new.row.618","11260",2002,498300
"new.row.619","11260",2003,522940
"new.row.620","11260",2004,560080
"new.row.621","11260",2005,594309
"new.row.622","11260",2006,649503
"new.row.623","11260",2007,686009
"new.row.624","11260",2008,714088
"new.row.625","11260",2009,729737
"new.row.626","11260",2010,769844
"new.row.627","11260",2011,626437
"new.row.628","11260",2012,647624
"new.row.629","11260",2013,863386
"new.row.630","21820",1969,5607
"new.row.631","21820",1970,6230
"new.row.632","21820",1971,6586
"new.row.633","21820",1972,7313
"new.row.634","21820",1973,8856
"new.row.635","21820",1974,16930
"new.row.636","21820",1975,33224
"new.row.637","21820",1976,33322
"new.row.638","21820",1977,27542
"new.row.639","21820",1978,22981
"new.row.640","21820",1979,24669
"new.row.641","21820",1980,25336
"new.row.642","21820",1981,31531
"new.row.643","21820",1982,37688
"new.row.644","21820",1983,42651
"new.row.645","21820",1984,46516
"new.row.646","21820",1985,51149
"new.row.647","21820",1986,48278
"new.row.648","21820",1987,46616
"new.row.649","21820",1988,50262
"new.row.650","21820",1989,53994
"new.row.651","21820",1990,59972
"new.row.652","21820",1991,63280
"new.row.653","21820",1992,67548
"new.row.654","21820",1993,70726
"new.row.655","21820",1994,72697
"new.row.656","21820",1995,76600
"new.row.657","21820",1996,78166
"new.row.658","21820",1997,82201
"new.row.659","21820",1998,85893
"new.row.660","21820",1999,87917
"new.row.661","21820",2000,92604
"new.row.662","21820",2001,97861
"new.row.663","21820",2002,105042
"new.row.664","21820",2003,110690
"new.row.665","21820",2004,118048
"new.row.666","21820",2005,127052
"new.row.667","21820",2006,141914
"new.row.668","21820",2007,145794
"new.row.669","21820",2008,151637
"new.row.670","21820",2009,153460
"new.row.671","21820",2010,162225
"new.row.672","21820",2011,133350
"new.row.673","21820",2012,136373
"new.row.674","21820",2013,176786
"new.row.675","22380",1969,3723
"new.row.676","22380",1970,3943
"new.row.677","22380",1971,5111
"new.row.678","22380",1972,6805
"new.row.679","22380",1973,9396
"new.row.680","22380",1974,10165
"new.row.681","22380",1975,10381
"new.row.682","22380",1976,10686
"new.row.683","22380",1977,11834
"new.row.684","22380",1978,14311
"new.row.685","22380",1979,17006
"new.row.686","22380",1980,19601
"new.row.687","22380",1981,23021
"new.row.688","22380",1982,24740
"new.row.689","22380",1983,27676
"new.row.690","22380",1984,31237
"new.row.691","22380",1985,36348
"new.row.692","22380",1986,41132
"new.row.693","22380",1987,44135
"new.row.694","22380",1988,49968
"new.row.695","22380",1989,53376
"new.row.696","22380",1990,59471
"new.row.697","22380",1991,63619
"new.row.698","22380",1992,69057
"new.row.699","22380",1993,73283
"new.row.700","22380",1994,79119
"new.row.701","22380",1995,84116
"new.row.702","22380",1996,88469
"new.row.703","22380",1997,93477
"new.row.704","22380",1998,98302
"new.row.705","22380",1999,104430
"new.row.706","22380",2000,111774
"new.row.707","22380",2001,114310
"new.row.708","22380",2002,121679
"new.row.709","22380",2003,129265
"new.row.710","22380",2004,139619
"new.row.711","22380",2005,152459
"new.row.712","22380",2006,161604
"new.row.713","22380",2007,176192
"new.row.714","22380",2008,179106
"new.row.715","22380",2009,177817
"new.row.716","22380",2010,179515
"new.row.717","22380",2011,143949
"new.row.718","22380",2012,146157
"new.row.719","22380",2013,197512
