"","msa.fips","year","average.compensation.per.job"
"new.row.703","19740",2008,62190
"new.row.704","19740",2009,63365
"new.row.705","19740",2010,65050
"new.row.706","19740",2011,66383
"new.row.707","19740",2012,68480
"new.row.708","22660",2001,40225
"new.row.709","22660",2002,41555
"new.row.710","22660",2003,42489
"new.row.711","22660",2004,43645
"new.row.712","22660",2005,45096
"new.row.713","22660",2006,46395
"new.row.714","22660",2007,47631
"new.row.715","22660",2008,48509
"new.row.716","22660",2009,49142
"new.row.717","22660",2010,50189
"new.row.718","22660",2011,51465
"new.row.719","22660",2012,52674
"new.row.720","24300",2001,34017
"new.row.721","24300",2002,35339
"new.row.722","24300",2003,36556
"new.row.723","24300",2004,37961
"new.row.724","24300",2005,40023
"new.row.725","24300",2006,42204
"new.row.726","24300",2007,44670
"new.row.727","24300",2008,48035
"new.row.728","24300",2009,47777
"new.row.729","24300",2010,47543
"new.row.730","24300",2011,48799
"new.row.731","24300",2012,49706
"new.row.732","24540",2001,36811
"new.row.733","24540",2002,38581
"new.row.734","24540",2003,39368
"new.row.735","24540",2004,40843
"new.row.736","24540",2005,42232
"new.row.737","24540",2006,43520
"new.row.738","24540",2007,45902
"new.row.739","24540",2008,47371
"new.row.740","24540",2009,46831
"new.row.741","24540",2010,48485
"new.row.742","24540",2011,49874
"new.row.743","24540",2012,51602
"new.row.744","39380",2001,34060
"new.row.745","39380",2002,35204
"new.row.746","39380",2003,36341
"new.row.747","39380",2004,38962
"new.row.748","39380",2005,38960
"new.row.749","39380",2006,39672
"new.row.750","39380",2007,41405
"new.row.751","39380",2008,43163
"new.row.752","39380",2009,44383
"new.row.753","39380",2010,45285
"new.row.754","39380",2011,46403
"new.row.755","39380",2012,47593
"new.row.756","14860",2001,73190
"new.row.757","14860",2002,71133
"new.row.758","14860",2003,74078
"new.row.759","14860",2004,79181
"new.row.760","14860",2005,83323
"new.row.761","14860",2006,87619
"new.row.762","14860",2007,93124
"new.row.763","14860",2008,93267
"new.row.764","14860",2009,90543
"new.row.765","14860",2010,94831
"new.row.766","14860",2011,97469
"new.row.767","14860",2012,98325
"new.row.768","25540",2001,53058
"new.row.769","25540",2002,54149
"new.row.770","25540",2003,56179
"new.row.771","25540",2004,59919
"new.row.772","25540",2005,62102
"new.row.773","25540",2006,63345
"new.row.774","25540",2007,66634
"new.row.775","25540",2008,67113
"new.row.776","25540",2009,67378
"new.row.777","25540",2010,69523
"new.row.778","25540",2011,71493
"new.row.779","25540",2012,72919
"new.row.780","35300",2001,46789
"new.row.781","35300",2002,48174
"new.row.782","35300",2003,50361
"new.row.783","35300",2004,52478
"new.row.784","35300",2005,53773
"new.row.785","35300",2006,55067
"new.row.786","35300",2007,57419
"new.row.787","35300",2008,59215
"new.row.788","35300",2009,59806
"new.row.789","35300",2010,61368
"new.row.790","35300",2011,62339
"new.row.791","35300",2012,63294
"new.row.792","35980",2001,46474
"new.row.793","35980",2002,47471
"new.row.794","35980",2003,49590
"new.row.795","35980",2004,52448
"new.row.796","35980",2005,53618
"new.row.797","35980",2006,55107
"new.row.798","35980",2007,57591
"new.row.799","35980",2008,59320
"new.row.800","35980",2009,60456
"new.row.801","35980",2010,61758
"new.row.802","35980",2011,62863
"new.row.803","35980",2012,63607
"new.row.804","49340",2001,43789
"new.row.805","49340",2002,44361
"new.row.806","49340",2003,46217
"new.row.807","49340",2004,48558
"new.row.808","49340",2005,49683
"new.row.809","49340",2006,51468
"new.row.810","49340",2007,53604
"new.row.811","49340",2008,55337
"new.row.812","49340",2009,55372
"new.row.813","49340",2010,57402
"new.row.814","49340",2011,59121
"new.row.815","49340",2012,59447
"new.row.816","20100",2001,36995
"new.row.817","20100",2002,39662
"new.row.818","20100",2003,41175
"new.row.819","20100",2004,42759
"new.row.820","20100",2005,43955
"new.row.821","20100",2006,45417
"new.row.822","20100",2007,47254
"new.row.823","20100",2008,47938
"new.row.824","20100",2009,49634
"new.row.825","20100",2010,49857
"new.row.826","20100",2011,49840
"new.row.827","20100",2012,51311
"new.row.828","37980",2001,49241
"new.row.829","37980",2002,50790
"new.row.830","37980",2003,53007
"new.row.831","37980",2004,55543
"new.row.832","37980",2005,57564
"new.row.833","37980",2006,60171
"new.row.834","37980",2007,62406
"new.row.835","37980",2008,63798
"new.row.836","37980",2009,64637
"new.row.837","37980",2010,66243
"new.row.838","37980",2011,67932
"new.row.839","37980",2012,69431
"new.row.840","41540",2001,32262
"new.row.841","41540",2002,33355
"new.row.842","41540",2003,35165
"new.row.843","41540",2004,36894
"new.row.844","41540",2005,38690
"new.row.845","41540",2006,40016
"new.row.846","41540",2007,41718
"new.row.847","41540",2008,42487
"new.row.848","41540",2009,43132
"new.row.849","41540",2010,44440
"new.row.850","41540",2011,44764
"new.row.851","41540",2012,45118
"new.row.852","47900",2001,57570
"new.row.853","47900",2002,58901
"new.row.854","47900",2003,61858
"new.row.855","47900",2004,65405
"new.row.856","47900",2005,68637
"new.row.857","47900",2006,71441
"new.row.858","47900",2007,74511
"new.row.859","47900",2008,76957
"new.row.860","47900",2009,79472
"new.row.861","47900",2010,82378
"new.row.862","47900",2011,84245
"new.row.863","47900",2012,85153
"new.row.864","15980",2001,36852
"new.row.865","15980",2002,38293
"new.row.866","15980",2003,39694
"new.row.867","15980",2004,42718
