CBSA Code,Metro Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County,Lat,Lng
45820,,,"Topeka, KS",Metropolitan Statistical Area,,,Shawnee County,Kansas,20,177,Central,39.0928449,-95.8142885
45820,,,"Topeka, KS",Metropolitan Statistical Area,,,Wabaunsee County,Kansas,20,197,Outlying,38.9092089,-96.1526985
45860,,408,"Torrington, CT",Micropolitan Statistical Area,,"New York-Newark, NY-NJ-CT-PA",Litchfield County,Connecticut,09,005,Central,41.7866294,-73.2765361
45900,,,"Traverse City, MI",Micropolitan Statistical Area,,,Benzie County,Michigan,26,019,Outlying,44.645845,-86.0371264
45900,,,"Traverse City, MI",Micropolitan Statistical Area,,,Grand Traverse County,Michigan,26,055,Central,44.687984,-85.520024
45900,,,"Traverse City, MI",Micropolitan Statistical Area,,,Kalkaska County,Michigan,26,079,Outlying,44.6674445,-85.023346
45900,,,"Traverse City, MI",Micropolitan Statistical Area,,,Leelanau County,Michigan,26,089,Outlying,45.0821226,-86.0733634
45940,,408,"Trenton, NJ",Metropolitan Statistical Area,,"New York-Newark, NY-NJ-CT-PA",Mercer County,New Jersey,34,021,Central,40.3028533,-74.7337069
45980,,,"Troy, AL",Micropolitan Statistical Area,,,Pike County,Alabama,01,109,Central,31.8395163,-86.0121573
46020,,472,"Truckee-Grass Valley, CA",Micropolitan Statistical Area,,"Sacramento-Roseville, CA",Nevada County,California,06,057,Central,39.1346666,-121.1710389
46060,,536,"Tucson, AZ",Metropolitan Statistical Area,,"Tucson-Nogales, AZ",Pima County,Arizona,04,019,Central,32.057499,-111.6660725
46100,,,"Tullahoma-Manchester, TN",Micropolitan Statistical Area,,,Coffee County,Tennessee,47,031,Central,35.4576849,-86.0529604
46100,,,"Tullahoma-Manchester, TN",Micropolitan Statistical Area,,,Franklin County,Tennessee,47,051,Outlying,35.1946865,-86.0529604
46100,,,"Tullahoma-Manchester, TN",Micropolitan Statistical Area,,,Moore County,Tennessee,47,127,Outlying,35.2700506,-86.357952
46140,,538,"Tulsa, OK",Metropolitan Statistical Area,,"Tulsa-Muskogee-Bartlesville, OK",Creek County,Oklahoma,40,037,Central,35.8362494,-96.3226072
46140,,538,"Tulsa, OK",Metropolitan Statistical Area,,"Tulsa-Muskogee-Bartlesville, OK",Okmulgee County,Oklahoma,40,111,Outlying,35.6795873,-95.9832577
46140,,538,"Tulsa, OK",Metropolitan Statistical Area,,"Tulsa-Muskogee-Bartlesville, OK",Osage County,Oklahoma,40,113,Central,36.6189367,-96.2375947
46140,,538,"Tulsa, OK",Metropolitan Statistical Area,,"Tulsa-Muskogee-Bartlesville, OK",Pawnee County,Oklahoma,40,117,Outlying,36.2918339,-96.7065914
46140,,538,"Tulsa, OK",Metropolitan Statistical Area,,"Tulsa-Muskogee-Bartlesville, OK",Rogers County,Oklahoma,40,131,Outlying,36.3898068,-95.6457951
46140,,538,"Tulsa, OK",Metropolitan Statistical Area,,"Tulsa-Muskogee-Bartlesville, OK",Tulsa County,Oklahoma,40,143,Central,36.1593471,-95.940971
46140,,538,"Tulsa, OK",Metropolitan Statistical Area,,"Tulsa-Muskogee-Bartlesville, OK",Wagoner County,Oklahoma,40,145,Central,35.9192397,-95.5197394
46180,,,"Tupelo, MS",Micropolitan Statistical Area,,,Itawamba County,Mississippi,28,057,Outlying,34.2317882,-88.4016041
46180,,,"Tupelo, MS",Micropolitan Statistical Area,,,Lee County,Mississippi,28,081,Central,34.2354138,-88.7108964
46180,,,"Tupelo, MS",Micropolitan Statistical Area,,,Pontotoc County,Mississippi,28,115,Outlying,34.2382446,-89.0179332
46220,,,"Tuscaloosa, AL",Metropolitan Statistical Area,,,Hale County,Alabama,01,065,Outlying,32.7859102,-87.6186379
46220,,,"Tuscaloosa, AL",Metropolitan Statistical Area,,,Pickens County,Alabama,01,107,Outlying,33.3339954,-88.0900762
46220,,,"Tuscaloosa, AL",Metropolitan Statistical Area,,,Tuscaloosa County,Alabama,01,125,Central,33.3227653,-87.460397
46300,,,"Twin Falls, ID",Micropolitan Statistical Area,,,Jerome County,Idaho,16,053,Outlying,42.712818,-114.3287857
46300,,,"Twin Falls, ID",Micropolitan Statistical Area,,,Twin Falls County,Idaho,16,083,Central,42.335252,-114.6758916
46340,,540,"Tyler, TX",Metropolitan Statistical Area,,"Tyler-Jacksonville, TX",Smith County,Texas,48,423,Central,32.3352505,-95.3102505
46380,,,"Ukiah, CA",Micropolitan Statistical Area,,,Mendocino County,California,06,045,Central,39.5500194,-123.438353
46460,,362,"Union City, TN-KY",Micropolitan Statistical Area,,"Martin-Union City, TN-KY",Fulton County,Kentucky,21,075,Outlying,36.5630482,-89.1324866
46460,,362,"Union City, TN-KY",Micropolitan Statistical Area,,"Martin-Union City, TN-KY",Obion County,Tennessee,47,131,Central,36.3469439,-89.1705998
46500,,212,"Urbana, OH",Micropolitan Statistical Area,,"Dayton-Springfield-Sidney, OH",Champaign County,Ohio,39,021,Central,40.1025817,-83.804868
46520,,,"Urban Honolulu, HI",Metropolitan Statistical Area,,,Honolulu County,Hawaii,15,003,Central,21.3069857,-157.8584319
46540,,,"Utica-Rome, NY",Metropolitan Statistical Area,,,Herkimer County,New York,36,043,Outlying,43.1630587,-74.8741045
46540,,,"Utica-Rome, NY",Metropolitan Statistical Area,,,Oneida County,New York,36,065,Central,43.2371798,-75.4344727
46620,,,"Uvalde, TX",Micropolitan Statistical Area,,,Uvalde County,Texas,48,463,Central,29.3342663,-99.8124935
46660,,,"Valdosta, GA",Metropolitan Statistical Area,,,Brooks County,Georgia,13,027,Outlying,30.8730159,-83.5496566
46660,,,"Valdosta, GA",Metropolitan Statistical Area,,,Echols County,Georgia,13,101,Outlying,30.7503289,-82.9501558
46660,,,"Valdosta, GA",Metropolitan Statistical Area,,,Lanier County,Georgia,13,173,Outlying,31.0291269,-83.0361376
