area_code,year,high.tech.occupations,total.jobs,rate
3700001,2013,1770,174790,0.010126437
3700002,2013,2960,295090,0.010030838
3700003,2013,2780,254070,0.010941866
3700004,2013,1450,185400,0.007820928
3800001,2013,460,72920,0.006308283
3800002,2013,410,62310,0.006580003
3800003,2013,150,41200,0.003640777
3900001,2013,2360,231600,0.010189983
3900002,2013,2680,270390,0.009911609
3900003,2013,850,111790,0.007603542
3900004,2013,1290,156780,0.00822809
4000001,2013,1400,117310,0.011934191
4000002,2013,1340,117330,0.011420779
4000003,2013,480,69700,0.006886657
4000004,2013,870,163500,0.005321101
4100001,2013,380,68350,0.00555962
4100002,2013,800,96340,0.008303924
4100003,2013,470,64660,0.007268791
4100004,2013,340,55610,0.006114008
4200001,2013,1520,165740,0.009170991
4200002,2013,1420,156930,0.00904862
4200003,2013,1620,142710,0.011351692
4200004,2013,2710,238320,0.011371266
4500001,2013,820,109740,0.007472207
4500002,2013,1860,109340,0.017011158
4500003,2013,210,43980,0.004774898
4500004,2013,310,54430,0.005695389
4600001,2013,350,32560,0.010749386
4600002,2013,1740,125510,0.013863437
4600003,2013,220,34190,0.00643463
4700001,2013,890,127350,0.006988614
4700002,2013,970,130200,0.007450077
4700003,2013,690,112620,0.006126798
4700004,2013,1520,140210,0.010840882
4800001,2013,3240,257530,0.012581059
4800002,2013,590,80680,0.007312841
4800003,2013,1990,279350,0.00712368
4800004,2013,1020,144440,0.007061756
4800005,2013,280,89090,0.003142889
4800006,2013,940,132220,0.007109363
4900001,2013,30,16670,0.00179964
4900002,2013,40,19370,0.002065049
4900003,2013,30,21210,0.001414427
4900004,2013,510,51040,0.009992163
5000002,2013,790,73260,0.010783511
5100001,2013,1230,131600,0.009346505
5100002,2013,400,65900,0.006069803
5100003,2013,2830,47080,0.06011045
5100004,2013,1030,116580,0.008835135
5300001,2013,350,47270,0.007404273
5300002,2013,390,62400,0.00625
5300003,2013,590,64740,0.009113377
5300004,2013,950,58640,0.016200546
5400001,2013,1130,131330,0.008604279
5400002,2013,1660,140790,0.01179061
5500001,2013,1610,157620,0.01021444
5500002,2013,2430,174550,0.013921512
5500003,2013,1330,139240,0.009551853
5500004,2013,400,65350,0.006120888
5500005,2013,470,69880,0.006725816
5600001,2013,390,40610,0.009603546
5600002,2013,760,62320,0.012195122
5600003,2013,560,48370,0.011577424
5600004,2013,390,37100,0.010512129
7200002,2013,40,12330,0.00324412
